Country Name,Country Code,Series Name,Series Code,year,value,unit
Afghanistan,AFG,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,2022,218,NA
Afghanistan,AFG,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,2023,250,NA
Afghanistan,AFG,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,2024,NA,NA
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,2018,89.8496059758101,% of working-age population
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,2019,88.5120276122222,% of working-age population
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,2020,87.2478169146763,% of working-age population
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,2021,86.0834681804276,% of working-age population
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,2022,84.9624893289139,% of working-age population
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,2023,83.8361728436287,% of working-age population
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,2024,82.7768483158234,% of working-age population
Afghanistan,AFG,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2018,1000,NA
